pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
227,skarmory,skarmory,generation-iii,emerald,front_default,pokemon/skarmory/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/227.png
228,houndour,houndour,generation-iii,emerald,front_default,pokemon/houndour/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/228.png
229,houndoom,houndoom,generation-iii,emerald,front_default,pokemon/houndoom/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/229.png
230,kingdra,kingdra,generation-iii,emerald,front_default,pokemon/kingdra/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/230.png
231,phanpy,phanpy,generation-iii,emerald,front_default,pokemon/phanpy/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/231.png
232,donphan,donphan,generation-iii,emerald,front_default,pokemon/donphan/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/232.png
233,porygon2,porygon2,generation-iii,emerald,front_default,pokemon/porygon2/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/233.png
234,stantler,stantler,generation-iii,emerald,front_default,pokemon/stantler/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/234.png
235,smeargle,smeargle,generation-iii,emerald,front_default,pokemon/smeargle/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/235.png
236,tyrogue,tyrogue,generation-iii,emerald,front_default,pokemon/tyrogue/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/236.png
237,hitmontop,hitmontop,generation-iii,emerald,front_default,pokemon/hitmontop/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/237.png
238,smoochum,smoochum,generation-iii,emerald,front_default,pokemon/smoochum/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/238.png
239,elekid,elekid,generation-iii,emerald,front_default,pokemon/elekid/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/239.png
240,magby,magby,generation-iii,emerald,front_default,pokemon/magby/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/240.png
241,miltank,miltank,generation-iii,emerald,front_default,pokemon/miltank/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/241.png
242,blissey,blissey,generation-iii,emerald,front_default,pokemon/blissey/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/242.png
243,raikou,raikou,generation-iii,emerald,front_default,pokemon/raikou/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/243.png
244,entei,entei,generation-iii,emerald,front_default,pokemon/entei/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/244.png
245,suicune,suicune,generation-iii,emerald,front_default,pokemon/suicune/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/245.png
246,larvitar,larvitar,generation-iii,emerald,front_default,pokemon/larvitar/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/246.png
